Epoch: 1, Train Loss: 2.693208277992936, Val Loss: 2.136856158880087, Took 0:07:09.170786, ETA: 1:04:22.537074

Epoch: 2, Train Loss: 2.0070398463711716, Val Loss: 1.89122848373193, Took 0:06:03.565422, ETA: 0:48:28.523376

Epoch: 3, Train Loss: 1.7918873494275138, Val Loss: 1.747682302731734, Took 0:05:39.032962, ETA: 0:39:33.230734

Epoch: 4, Train Loss: 1.6621022840426203, Val Loss: 1.6488529150302593, Took 0:05:39.472785, ETA: 0:33:56.836710

Epoch: 5, Train Loss: 1.5836461077943893, Val Loss: 1.595681729225012, Took 0:05:39.461147, ETA: 0:28:17.305735

Epoch: 6, Train Loss: 1.5195371807388993, Val Loss: 1.5565506293223454, Took 0:05:38.981931, ETA: 0:22:35.927724

Epoch: 7, Train Loss: 1.4743157757709977, Val Loss: 1.5250076761612525, Took 0:05:39.430304, ETA: 0:16:58.290912

Epoch: 8, Train Loss: 1.4283398665583698, Val Loss: 1.5223416048746843, Took 0:05:39.958705, ETA: 0:11:19.917410

Epoch: 9, Train Loss: 1.395470160220314, Val Loss: 1.4784126130434183, Took 0:05:40.602531, ETA: 0:05:40.602531

Epoch: 10, Train Loss: 1.3688167618579619, Val Loss: 1.468574124116164, Took 0:05:40.388800, ETA: 0:00:00

