Epoch: 1, Train Loss: 2.675582613760821, Val Loss: 2.1643841450030985, Took 0:10:49.861884, ETA: 1:37:28.756956

Epoch: 2, Train Loss: 2.0213765272766735, Val Loss: 1.9032581609029036, Took 0:11:37.382399, ETA: 1:32:59.059192

Epoch: 3, Train Loss: 1.804418543735799, Val Loss: 1.7558699672038738, Took 0:10:18.208765, ETA: 1:12:07.461355

Epoch: 4, Train Loss: 1.6622187208208403, Val Loss: 1.666281661620507, Took 0:11:30.240759, ETA: 1:09:01.444554

Epoch: 5, Train Loss: 1.5778010350440193, Val Loss: 1.6045086943186246, Took 0:11:31.753819, ETA: 0:57:38.769095

Epoch: 6, Train Loss: 1.5234776885724375, Val Loss: 1.5417245892378, Took 0:11:31.967623, ETA: 0:46:07.870492

Epoch: 7, Train Loss: 1.4681777083310958, Val Loss: 1.5405107869551733, Took 0:11:31.139788, ETA: 0:34:33.419364

Epoch: 8, Train Loss: 1.4239837892065743, Val Loss: 1.4984233530668112, Took 0:11:30.288058, ETA: 0:23:00.576116

Epoch: 9, Train Loss: 1.3885704813597028, Val Loss: 1.4837512603172889, Took 0:11:32.691066, ETA: 0:11:32.691066

Epoch: 10, Train Loss: 1.3613351350178535, Val Loss: 1.4734319874873527, Took 0:11:31.580484, ETA: 0:00:00

