Epoch: 1, Train Loss: 2.127822061158045, Val Loss: 1.6871118816045614, Took 0:03:27.081494, ETA: 0:31:03.733446

Epoch: 2, Train Loss: 1.5608207512822785, Val Loss: 1.5202484167539156, Took 0:03:28.528983, ETA: 0:27:48.231864

Epoch: 3, Train Loss: 1.4187861809914717, Val Loss: 1.4561356796668126, Took 0:03:28.418524, ETA: 0:24:18.929668

Epoch: 4, Train Loss: 1.3270139149841833, Val Loss: 1.4351835250854492, Took 0:03:30.140677, ETA: 0:21:00.844062

Epoch: 5, Train Loss: 1.2569886897254912, Val Loss: 1.440739059448242, Took 0:03:28.659002, ETA: 0:17:23.295010

Epoch: 6, Train Loss: 1.1965862013239716, Val Loss: 1.4188964935449453, Took 0:03:28.142477, ETA: 0:13:52.569908

Epoch: 7, Train Loss: 1.135816223171136, Val Loss: 1.4206655905796932, Took 0:03:27.184631, ETA: 0:10:21.553893

Epoch: 8, Train Loss: 1.089846572702023, Val Loss: 1.435679510465035, Took 0:03:32.046518, ETA: 0:07:04.093036

Epoch: 9, Train Loss: 1.0509942259911305, Val Loss: 1.4314810844568107, Took 0:03:31.353753, ETA: 0:03:31.353753

Epoch: 10, Train Loss: 1.0078283935401573, Val Loss: 1.4377573783581072, Took 0:03:28.221653, ETA: 0:00:00

Test Performance: Loss: 1.4480307000748656, Bleu1: 67.65420484582853, Bleu4: 8.189480800390967
